Query	Hit	Rank	Probability	E-Value
RPN1	RPN2	2	100.0	7.0e-103
RPN1	2AAA	3	84.7	0.045
RPN1	AP1B1	4	83.7	0.054
RPN1	AP3B	5	81.0	0.083
RPN1	LAA1	6	80.0	0.095
RPN1	DOHH	7	77.9	0.12
RPN1	AP3D	8	73.8	0.19
RPN1	COPB	9	71.6	0.24
RPN1	AP2B	10	64.8	0.42
RPN1	GCN1	11	62.0	0.51
RPN1	CND3	12	55.5	0.78
RPN1	MOT1	13	49.8	1.1
RPN1	PDS5	14	49.8	1.1
RPN1	CND1	15	39.1	2.1
RPN1	KOG1	16	39.0	2.1
RPN1	IMB4	17	36.7	2.4
RPN1	VAC14	19	32.8	3.1
RPN1	SF3B1	20	29.5	3.8
RPN1	AP1G1	21	25.1	5.2
RPN1	IMB3	22	24.3	5.5
RPN1	STU2	23	24.2	5.5
IPI1	IMB3	1	91.7	0.0052
IPI1	ECM29	2	90.9	0.0076
IPI1	IMB2	3	90.5	0.0093
IPI1	2AAA	4	90.5	0.009
IPI1	SF3B1	5	89.7	0.013
IPI1	VAC14	6	89.3	0.014
IPI1	MET18	7	88.0	0.021
IPI1	STU2	8	87.4	0.024
IPI1	SCC2	9	87.3	0.025
IPI1	AP3D	10	86.1	0.034
IPI1	TOR2	11	84.8	0.044
IPI1	SYO1	12	84.6	0.046
IPI1	PDS5	13	84.0	0.051
IPI1	MOT1	14	82.8	0.063
IPI1	AP1B1	15	82.6	0.065
IPI1	UTP10	16	82.1	0.071
IPI1	CEX1	17	81.9	0.073
IPI1	AP3B	18	81.7	0.074
IPI1	IMB4	19	80.3	0.092
IPI1	GCN1	20	78.4	0.12
IPI1	IMA1	21	78.3	0.12
IPI1	TOR1	22	77.6	0.13
IPI1	COPG	23	76.9	0.14
IPI1	VAC8	24	75.4	0.16
IPI1	IMB1	25	74.4	0.18
IPI1	EF3A	26	73.9	0.19
IPI1	AP2B	27	71.4	0.24
IPI1	COPB	28	71.3	0.24
IPI1	EF3B	29	70.6	0.26
IPI1	NEW1	30	68.3	0.31
IPI1	AP1G1	32	63.6	0.45
IPI1	KA120	33	62.4	0.49
IPI1	STU1	34	62.2	0.5
IPI1	CND1	35	60.5	0.56
IPI1	UTP20	36	60.4	0.57
IPI1	NMD5	37	59.9	0.59
IPI1	SCC3	38	58.8	0.63
IPI1	CSE1	39	56.7	0.73
IPI1	RRP12	40	55.4	0.79
IPI1	TTI1	41	55.2	0.8
IPI1	RTP1	42	52.4	0.95
IPI1	LTN1	43	51.9	0.98
IPI1	SXM1	44	49.5	1.1
IPI1	AP2A	45	46.1	1.4
IPI1	CND3	46	45.9	1.4
IPI1	XPO1	47	40.9	1.9
IPI1	TSC11	49	36.3	2.5
IPI1	USO1	51	28.1	4.2
IPI1	FES1	52	27.1	4.5
IPI1	UFD4	54	22.4	6.3
KOG1	TFC6	83	99.6	2.0e-20
KOG1	VPS15	111	99.0	4.6e-14
KOG1	IMA1	120	96.4	7.4e-6
KOG1	FES1	122	95.6	8.2e-5
KOG1	VAC8	123	95.0	0.00027
KOG1	2AAA	126	91.2	0.0068
LAA1	IMB4	1	99.7	5.6e-22
LAA1	GCN1	2	99.5	3.4e-19
LAA1	IMB1	3	99.4	9.8e-18
LAA1	IMB3	4	99.0	4.3e-14
LAA1	ECM29	5	98.9	7.7e-14
LAA1	TOR2	6	98.8	4.8e-13
LAA1	TOR1	7	98.7	2.6e-12
LAA1	IMB2	8	98.2	3.5e-10
LAA1	SF3B1	9	98.2	2.9e-10
LAA1	UTP20	10	98.1	8.9e-10
LAA1	2AAA	11	98.0	1.0e-9
LAA1	MET18	12	97.6	2.5e-8
LAA1	KA120	13	97.6	2.7e-8
LAA1	RRP12	14	97.6	2.7e-8
LAA1	VAC14	15	97.4	9.2e-8
LAA1	SXM1	16	97.2	2.0e-7
LAA1	NMD5	17	97.1	4.1e-7
LAA1	CSE1	18	96.7	2.4e-6
LAA1	UTP10	19	96.4	8.0e-6
LAA1	MOT1	21	96.2	1.4e-5
LAA1	RTP1	22	95.6	8.4e-5
LAA1	AP1B1	23	95.5	9.9e-5
LAA1	STU2	24	93.9	0.001
LAA1	AP3D	25	93.6	0.0013
LAA1	VAC8	26	92.8	0.0026
LAA1	COPG	27	92.7	0.0028
LAA1	IMA1	28	91.8	0.005
LAA1	COPB	29	91.3	0.0063
LAA1	AP2B	30	91.0	0.0075
LAA1	CEX1	31	89.6	0.013
LAA1	VPS15	32	88.7	0.017
LAA1	RPN2	33	88.4	0.019
LAA1	AP3B	34	87.9	0.021
LAA1	AP2A	35	83.6	0.055
LAA1	NEW1	36	81.3	0.079
LAA1	CND1	37	81.1	0.082
LAA1	EF3B	38	78.0	0.12
LAA1	PDS5	39	76.9	0.14
LAA1	DOHH	40	73.6	0.2
LAA1	EF3A	41	70.7	0.26
LAA1	AP1G1	42	67.2	0.35
LAA1	XPO1	43	66.3	0.37
LAA1	STU1	45	64.4	0.43
LAA1	FES1	46	62.9	0.48
LAA1	RPN1	48	61.8	0.51
LAA1	CND3	50	56.2	0.75
LAA1	SHE4	51	51.2	1
LAA1	UFD4	52	44.5	1.5
LAA1	SCC3	55	32.3	3.2
LAA1	TTI1	57	27.3	4.4
LAA1	KOG1	58	27.0	4.5
LAA1	IPI1	59	26.3	4.7
LAA1	TR732	60	25.1	5.2
LAA1	VID28	61	24.9	5.2
LAA1	BLM10	62	21.0	7
VAC8	IMA1	1	99.8	1.3e-25
VAC8	SHE4	2	99.7	1.0e-21
VAC8	VID28	3	99.7	8.6e-22
VAC8	2AAA	4	99.5	1.6e-18
VAC8	UFD4	5	99.3	1.3e-16
VAC8	AP1B1	6	99.2	5.3e-16
VAC8	IMB3	7	99.1	3.2e-15
VAC8	IMB2	8	99.1	3.3e-15
VAC8	TOR1	9	99.1	9.2e-15
VAC8	VAC14	10	99.1	6.5e-15
VAC8	SF3B1	11	99.1	1.2e-14
VAC8	AP2B	12	99.1	9.6e-15
VAC8	TOR2	13	99.0	4.2e-14
VAC8	IMB4	14	98.9	1.9e-13
VAC8	GCN1	15	98.9	1.4e-13
VAC8	AP3B	16	98.9	1.1e-13
VAC8	ECM29	17	98.9	2.4e-13
VAC8	HGH1	18	98.8	3.4e-13
VAC8	COPG	19	98.8	8.3e-13
VAC8	VATH	20	98.8	7.8e-13
VAC8	IMB1	21	98.7	1.8e-12
VAC8	AP3D	22	98.6	8.0e-12
VAC8	COPB	23	98.6	5.9e-12
VAC8	DOHH	24	98.5	2.2e-11
VAC8	FES1	25	98.4	3.4e-11
VAC8	STU2	26	98.2	3.6e-10
VAC8	UTP20	27	98.2	1.9e-10
VAC8	AP1G1	28	98.2	3.3e-10
VAC8	SYO1	29	98.2	3.1e-10
VAC8	RPN2	30	98.1	9.0e-10
VAC8	MET18	31	98.0	1.9e-9
VAC8	AP2A	32	97.7	1.2e-8
VAC8	USO1	33	97.7	1.6e-8
VAC8	UTP10	34	97.6	2.0e-8
VAC8	SCC2	35	97.0	6.1e-7
VAC8	VPS15	36	96.9	1.2e-6
VAC8	EF3B	37	96.8	1.5e-6
VAC8	EF3A	38	96.8	1.6e-6
VAC8	MOT1	39	96.7	3.0e-6
VAC8	CEX1	40	96.5	5.6e-6
VAC8	CSE1	41	96.5	6.1e-6
VAC8	NEW1	42	96.4	8.0e-6
VAC8	RRP12	43	96.4	8.5e-6
VAC8	NMD5	44	96.3	1.0e-5
VAC8	STU1	45	96.1	2.1e-5
VAC8	KA120	46	96.0	3.3e-5
VAC8	PDS5	47	95.8	4.7e-5
VAC8	CND3	48	95.6	8.0e-5
VAC8	KOG1	49	95.6	7.1e-5
VAC8	HSM3	50	95.4	0.00013
VAC8	SXM1	51	95.2	0.00018
VAC8	RTP1	52	95.2	0.00018
VAC8	SIL1	53	95.0	0.00026
VAC8	RPN1	54	94.6	0.00045
VAC8	TSC11	56	92.6	0.003
VAC8	CND1	58	91.2	0.0067
VAC8	TR732	59	91.2	0.0068
VAC8	HYM1	60	88.0	0.021
VAC8	SCC3	61	87.6	0.023
VAC8	IPI1	66	73.9	0.19
VAC8	LAA1	67	68.8	0.3
VAC8	TAO3	68	58.8	0.63
VAC8	XPO1	69	57.2	0.7
VAC8	BLM10	77	26.9	4.6
VAC8	SCY1	78	22.2	6.4
KRE29	YKH5	1	9.7	22
KRE29	BNI1	2	6.1	41
KRE29	BRR1	3	5.5	47
KRE29	IF4F2	4	4.6	60
TSC11	HSM3	1	97.1	3.7e-7
TSC11	VAC8	2	95.9	3.7e-5
TSC11	IMA1	3	93.3	0.0018
TSC11	HGH1	4	91.2	0.0068
TSC11	FES1	5	89.4	0.014
TSC11	VID28	6	81.5	0.077
TSC11	UFD4	7	60.8	0.55
TSC11	AP1B1	8	44.7	1.5
TSC11	IMB3	9	40.2	2
TSC11	COPG	10	39.1	2.1
TSC11	SCC2	11	36.0	2.5
TSC11	AP3D	12	29.0	4
TSC11	2AAA	13	26.7	4.6
TSC11	TOR1	14	22.9	6.1
TSC11	IPI1	15	22.5	6.3
TSC11	MAK21	16	22.1	6.5
TSC11	COPB	17	20.5	7.3
TSC11	AP2A	18	20.4	7.4
IMB4	IMB3	1	100.0	5.1e-50
IMB4	IMB2	2	100.0	4.2e-35
IMB4	IMB1	3	100.0	1.2e-38
IMB4	TOR1	4	99.9	4.8e-27
IMB4	KA120	5	99.9	1.9e-27
IMB4	SXM1	6	99.9	2.6e-27
IMB4	GCN1	7	99.9	5.1e-28
IMB4	RRP12	8	99.9	5.0e-29
IMB4	NMD5	9	99.9	6.6e-27
IMB4	CSE1	10	99.9	2.8e-30
IMB4	TOR2	11	99.8	5.0e-25
IMB4	UTP20	12	99.8	1.5e-24
IMB4	ECM29	14	99.8	7.5e-27
IMB4	MET18	15	99.7	6.4e-23
IMB4	XPO1	16	99.7	6.8e-23
IMB4	SF3B1	17	99.7	2.6e-23
IMB4	2AAA	21	99.6	3.6e-21
IMB4	UTP10	22	99.5	2.4e-19
IMB4	VAC14	23	99.4	2.4e-17
IMB4	AP1B1	25	99.1	1.4e-14
IMB4	COPG	26	99.0	4.0e-14
IMB4	STU2	27	98.9	2.3e-13
IMB4	MOT1	28	98.9	1.6e-13
IMB4	VAC8	29	98.7	2.0e-12
IMB4	AP2B	30	98.2	2.7e-10
IMB4	AP3B	31	98.2	3.6e-10
IMB4	IMA1	32	98.1	4.9e-10
IMB4	COPB	33	97.8	6.2e-9
IMB4	AP3D	34	97.6	2.1e-8
IMB4	EF3B	35	97.3	1.7e-7
IMB4	NEW1	36	97.3	1.6e-7
IMB4	EF3A	37	97.3	1.4e-7
IMB4	RTP1	38	97.1	4.4e-7
IMB4	AP1G1	39	97.1	3.6e-7
IMB4	SCC2	40	97.0	5.8e-7
IMB4	LAA1	41	96.9	1.3e-6
IMB4	VPS15	42	96.9	1.3e-6
IMB4	AP2A	43	96.8	1.6e-6
IMB4	STU1	44	96.7	2.5e-6
IMB4	VID28	45	96.4	7.8e-6
IMB4	UFD4	46	96.3	1.2e-5
IMB4	CND1	47	96.3	1.0e-5
IMB4	PDS5	48	96.2	1.4e-5
IMB4	CEX1	49	96.1	1.9e-5
IMB4	RPN2	50	96.1	2.1e-5
IMB4	SHE4	51	95.9	4.2e-5
IMB4	DOHH	52	95.8	4.7e-5
IMB4	CND3	53	95.0	0.00025
IMB4	TTI1	54	94.4	0.0006
IMB4	TR732	55	93.9	0.001
IMB4	FES1	56	93.0	0.0023
IMB4	IPI1	57	91.1	0.0071
IMB4	VATH	59	82.0	0.071
IMB4	SCC3	60	81.4	0.078
IMB4	KOG1	65	75.8	0.16
IMB4	SIL1	66	75.4	0.16
IMB4	SYO1	68	68.9	0.3
IMB4	LTN1	71	64.4	0.43
IMB4	BLM10	72	57.9	0.67
IMB4	HGH1	73	54.2	0.85
IMB4	USO1	74	50.0	1.1
IMB4	RPN1	75	46.5	1.4
IMB4	SCY1	76	45.2	1.5
IMB4	HSM3	77	22.0	6.5
IMB4	MAK21	78	21.7	6.7
IMB4	TSC11	79	20.8	7.1
SCC4	APC5	1	51.7	0.99
SCC4	SEC17	2	42.4	1.7
SCC4	RPN6	3	13.0	15
SCC4	CLU	4	7.3	32
SCC4	HIR3	5	6.7	37
SCC4	HIF1	6	6.7	36
TAO3	GCN1	3	88.5	0.018
TAO3	2AAA	4	78.8	0.11
TAO3	IMB3	5	63.3	0.46
TAO3	SF3B1	6	35.9	2.6
TAO3	VPS15	7	35.4	2.6
TAO3	SCC2	8	26.5	4.7
TAO3	IMA1	9	23.0	6
TAO3	PDS5	10	20.2	7.5
TAO3	STU2	11	20.0	7.6
MET18	GCN1	1	99.7	8.4e-22
MET18	RRP12	2	99.4	2.4e-17
MET18	IMB3	3	99.2	8.6e-16
MET18	IMB4	4	99.1	5.4e-15
MET18	ECM29	5	99.1	8.1e-15
MET18	IMB2	6	99.0	6.5e-14
MET18	TOR2	7	99.0	4.1e-14
MET18	TOR1	8	99.0	1.7e-14
MET18	SF3B1	9	98.9	2.0e-13
MET18	UTP20	10	98.9	8.8e-14
MET18	2AAA	11	98.8	4.2e-13
MET18	MOT1	12	98.6	6.7e-12
MET18	IMB1	13	98.5	2.6e-11
MET18	VAC14	14	98.3	1.3e-10
MET18	EF3A	15	98.0	1.8e-9
MET18	EF3B	16	97.9	4.0e-9
MET18	NEW1	17	97.7	1.3e-8
MET18	UTP10	18	97.6	2.2e-8
MET18	VAC8	19	97.3	1.1e-7
MET18	AP1B1	20	97.0	7.8e-7
MET18	COPG	21	96.9	1.1e-6
MET18	STU2	22	96.5	5.0e-6
MET18	IMA1	23	96.3	1.2e-5
MET18	RTP1	24	96.3	1.1e-5
MET18	CEX1	25	95.9	3.9e-5
MET18	PDS5	26	95.8	5.3e-5
MET18	KA120	27	95.6	8.5e-5
MET18	AP2B	28	95.6	8.1e-5
MET18	CND3	29	95.5	0.00011
MET18	AP3B	30	95.1	0.0002
MET18	AP3D	31	94.7	0.00039
MET18	DOHH	32	94.7	0.00042
MET18	SCC2	33	94.5	0.00054
MET18	SXM1	34	94.4	0.00056
MET18	CSE1	35	94.4	0.00061
MET18	AP1G1	36	93.7	0.0013
MET18	COPB	37	93.2	0.0019
MET18	FES1	38	93.1	0.0021
MET18	NMD5	39	93.1	0.0021
MET18	STU1	40	92.9	0.0024
MET18	RPN2	41	92.9	0.0025
MET18	IPI1	42	92.8	0.0026
MET18	VPS15	43	91.8	0.005
MET18	CND1	44	91.1	0.007
MET18	SHE4	46	90.4	0.0093
MET18	UFD4	47	89.4	0.014
MET18	VID28	48	88.9	0.016
MET18	AP2A	49	87.2	0.026
MET18	XPO1	50	86.9	0.028
MET18	LAA1	51	86.1	0.033
MET18	TR732	53	80.5	0.089
MET18	BLM10	57	74.2	0.19
MET18	SCC3	58	74.0	0.19
MET18	SYO1	59	72.6	0.22
MET18	TTI1	62	58.5	0.64
MET18	VATH	63	58.3	0.66
MET18	KOG1	64	57.2	0.7
MET18	SCY1	66	52.1	0.97
MET18	USO1	68	41.1	1.9
MET18	SIL1	69	39.6	2.1
MET18	LTN1	70	37.7	2.3
MET18	HGH1	71	32.0	3.3
MET18	TSC11	74	21.5	6.7
FIS1	CYC8	30	97.3	1.3e-7
FIS1	SEC17	37	96.6	3.6e-6
FIS1	HIF1	49	95.3	0.00016
FIS1	CLU	51	94.5	0.0005
FIS1	APC5	52	94.4	0.00061
FIS1	RPN6	55	92.6	0.003
FIS1	TOR1	72	45.6	1.4
FIS1	HIR3	75	30.0	3.7
SCC3	CND3	1	95.9	3.7e-5
SCC3	PDS5	2	95.0	0.00027
SCC3	SCC2	3	94.5	0.0005
SCC3	2AAA	4	90.9	0.0078
SCC3	CEX1	5	87.1	0.027
SCC3	CND1	6	86.8	0.029
SCC3	AP1B1	7	82.6	0.065
SCC3	AP3B	8	78.9	0.11
SCC3	SF3B1	9	76.8	0.14
SCC3	IMB2	10	72.5	0.22
SCC3	IMA1	11	69.2	0.29
SCC3	COPB	12	67.6	0.33
SCC3	STU2	13	65.9	0.38
SCC3	VAC8	14	64.4	0.43
SCC3	COPG	15	63.9	0.44
SCC3	VPS15	16	61.9	0.51
SCC3	IMB3	17	60.9	0.55
SCC3	ECM29	18	56.5	0.73
SCC3	AP3D	19	53.9	0.87
SCC3	TOR2	20	53.1	0.91
SCC3	VAC14	21	53.0	0.91
SCC3	DOHH	22	50.9	1
SCC3	AP1G1	23	49.7	1.1
SCC3	AP2B	24	44.5	1.5
SCC3	TOR1	25	40.0	2
SCC3	MET18	26	39.5	2.1
SCC3	KOG1	27	36.6	2.5
SCC3	GCN1	28	35.1	2.7
SCC3	FES1	29	32.0	3.3
SCC3	SXM1	30	30.6	3.6
SCC3	RPN2	31	28.0	4.2
SCC3	MOT1	32	27.5	4.4
SCC3	LTN1	33	21.5	6.8
SCC3	PTA1	34	20.2	7.5
SCC3	NMD5	35	20.1	7.5
SCC3	RTP1	36	20.0	7.6
VID28	IMA1	1	99.7	7.9e-23
VID28	VAC8	2	99.6	1.2e-20
VID28	UFD4	3	99.5	2.0e-19
VID28	SHE4	4	99.5	5.6e-19
VID28	FES1	5	98.6	6.9e-12
VID28	2AAA	6	97.8	4.7e-9
VID28	HGH1	7	97.7	1.3e-8
VID28	SYO1	8	97.7	1.6e-8
VID28	VATH	9	97.6	2.0e-8
VID28	AP1B1	10	97.1	3.6e-7
VID28	SF3B1	11	97.0	7.0e-7
VID28	USO1	12	97.0	6.5e-7
VID28	TOR1	13	96.9	1.3e-6
VID28	IMB2	14	96.7	2.8e-6
VID28	DOHH	15	96.7	2.3e-6
VID28	AP2B	16	96.7	2.5e-6
VID28	IMB3	17	96.3	1.3e-5
VID28	TOR2	18	96.0	2.7e-5
VID28	COPB	19	95.9	4.0e-5
VID28	GCN1	20	95.6	7.5e-5
VID28	VAC14	21	95.5	0.0001
VID28	COPG	22	95.5	9.9e-5
VID28	AP3D	23	95.4	0.00013
VID28	IMB1	24	95.0	0.00027
VID28	ECM29	25	94.8	0.00034
VID28	IMB4	26	94.4	0.00063
VID28	RPN2	27	94.2	0.00074
VID28	AP3B	28	93.8	0.0011
VID28	NEW1	29	92.6	0.003
VID28	AP2A	30	92.5	0.0032
VID28	EF3A	31	92.2	0.0039
VID28	EF3B	32	92.1	0.0041
VID28	KOG1	33	92.1	0.0042
VID28	AP1G1	34	91.9	0.0047
VID28	STU2	35	91.0	0.0072
VID28	SIL1	36	90.4	0.0093
VID28	UTP20	37	90.2	0.01
VID28	VPS15	38	87.0	0.027
VID28	MET18	39	84.8	0.044
VID28	CEX1	40	84.2	0.049
VID28	PDS5	42	80.0	0.095
VID28	TSC11	43	75.9	0.16
VID28	MOT1	44	75.1	0.17
VID28	CND1	46	65.1	0.41
VID28	CSE1	47	57.5	0.69
VID28	CND3	48	55.8	0.77
VID28	RTP1	50	46.0	1.4
VID28	RRP12	52	39.6	2
VID28	KA120	54	36.5	2.5
VID28	UTP10	55	34.0	2.9
VID28	SCC2	56	29.2	3.9
VID28	HYM1	57	25.9	4.9
VID28	SXM1	58	25.2	5.1
VID28	XPO1	59	24.6	5.3
VATH	VAC8	1	98.5	1.7e-11
VATH	IMA1	2	98.4	5.1e-11
VATH	SHE4	3	97.1	3.6e-7
VATH	VID28	4	96.9	1.1e-6
VATH	HGH1	5	96.8	2.0e-6
VATH	FES1	6	96.6	3.4e-6
VATH	UFD4	7	95.6	8.5e-5
VATH	AP3D	8	92.6	0.0031
VATH	2AAA	9	92.6	0.003
VATH	USO1	10	89.2	0.015
VATH	TOR1	11	86.9	0.028
VATH	SYO1	12	82.4	0.067
VATH	AP1B1	13	81.5	0.077
VATH	IMB3	14	72.0	0.23
VATH	COPG	15	69.6	0.28
VATH	VAC14	16	69.3	0.29
VATH	AP2B	17	68.7	0.31
VATH	IMB2	18	58.7	0.64
VATH	TOR2	19	52.5	0.94
VATH	ECM29	20	49.7	1.1
VATH	AP2A	22	47.5	1.3
VATH	GCN1	23	45.7	1.4
VATH	UTP20	24	34.8	2.7
VATH	SIL1	25	32.9	3.1
VATH	IMB4	26	28.3	4.2
VATH	CND1	27	23.0	6
VATH	AP1G1	28	21.8	6.6
COPB	AP3D	1	100.0	1.2e-45
COPB	AP2A	2	100.0	2.9e-56
COPB	COPG	3	100.0	1.6e-66
COPB	AP2B	4	100.0	1.5e-47
COPB	AP3B	5	100.0	7.9e-44
COPB	AP1G1	6	100.0	1.8e-47
COPB	AP1B1	7	100.0	9.9e-46
COPB	2AAA	8	98.8	3.1e-13
COPB	VAC8	9	98.0	1.1e-9
COPB	IMA1	10	97.9	3.3e-9
COPB	VAC14	11	97.9	4.2e-9
COPB	IMB2	12	97.7	1.2e-8
COPB	RPN2	13	97.7	1.3e-8
COPB	DOHH	14	97.6	2.5e-8
COPB	SF3B1	15	97.6	2.2e-8
COPB	GCN1	16	97.6	1.8e-8
COPB	STU2	17	97.5	5.0e-8
COPB	IMB3	18	97.5	3.3e-8
COPB	TOR1	19	97.3	1.7e-7
COPB	TOR2	20	97.2	2.5e-7
COPB	ECM29	21	97.0	7.7e-7
COPB	IMB1	22	96.9	1.2e-6
COPB	VID28	23	96.4	9.0e-6
COPB	IMB4	24	96.3	1.1e-5
COPB	PDS5	25	96.2	1.4e-5
COPB	SHE4	26	95.8	5.0e-5
COPB	UFD4	27	94.8	0.00037
COPB	CND3	28	94.8	0.00036
COPB	UTP20	29	94.6	0.00044
COPB	VPS15	30	94.2	0.00077
COPB	MET18	31	94.1	0.00081
COPB	CND1	32	93.6	0.0014
COPB	CEX1	33	93.4	0.0017
COPB	RPN1	34	93.3	0.0019
COPB	NEW1	35	92.3	0.0038
COPB	MOT1	36	91.6	0.0056
COPB	UTP10	37	91.2	0.0068
COPB	EF3A	38	90.4	0.0095
COPB	VATH	39	89.5	0.013
COPB	EF3B	40	89.1	0.015
COPB	RTP1	41	88.1	0.021
COPB	SCC2	42	87.0	0.027
COPB	STU1	43	85.0	0.043
COPB	CSE1	44	84.3	0.049
COPB	KA120	45	83.7	0.054
COPB	LAA1	46	82.9	0.061
COPB	TR732	47	82.8	0.063
COPB	SCC3	48	80.7	0.086
COPB	RRP12	49	78.9	0.11
COPB	NMD5	50	78.8	0.11
COPB	SXM1	51	78.6	0.11
COPB	FES1	54	73.9	0.19
COPB	KOG1	55	70.9	0.25
COPB	HGH1	57	66.5	0.36
COPB	IPI1	58	63.2	0.47
COPB	USO1	59	62.5	0.49
COPB	MAK21	60	58.4	0.65
COPB	HSM3	61	38.9	2.1
COPB	SYO1	62	30.3	3.6
COPB	TSC11	63	29.8	3.8
UTP10	IMB4	1	99.7	7.1e-23
UTP10	IMB3	2	99.4	4.4e-18
UTP10	IMB1	3	99.3	4.2e-17
UTP10	IMB2	4	99.1	2.5e-15
UTP10	ECM29	5	99.1	3.1e-15
UTP10	SF3B1	6	99.0	6.2e-14
UTP10	RRP12	7	99.0	5.1e-14
UTP10	TOR2	8	98.9	2.0e-13
UTP10	TOR1	9	98.9	9.0e-14
UTP10	UTP20	10	98.9	1.3e-13
UTP10	MET18	11	98.8	7.3e-13
UTP10	VAC14	12	98.8	6.8e-13
UTP10	2AAA	13	98.8	3.3e-13
UTP10	GCN1	14	98.6	4.9e-12
UTP10	KA120	15	98.2	3.1e-10
UTP10	STU2	16	97.8	7.1e-9
UTP10	AP1B1	17	97.6	2.3e-8
UTP10	CSE1	18	97.3	1.7e-7
UTP10	VAC8	19	97.2	2.8e-7
UTP10	MOT1	20	97.0	6.1e-7
UTP10	COPG	21	96.7	2.1e-6
UTP10	NMD5	22	96.7	2.7e-6
UTP10	SXM1	25	96.5	6.5e-6
UTP10	NEW1	26	96.2	1.8e-5
UTP10	AP3B	28	96.1	2.0e-5
UTP10	IMA1	29	96.0	3.2e-5
UTP10	AP2B	30	95.7	6.0e-5
UTP10	EF3B	31	95.6	8.6e-5
UTP10	EF3A	33	95.6	8.7e-5
UTP10	RTP1	34	95.4	0.00011
UTP10	STU1	35	95.4	0.00011
UTP10	XPO1	36	95.2	0.00018
UTP10	COPB	37	94.8	0.00035
UTP10	AP3D	38	94.4	0.00064
UTP10	VPS15	39	92.1	0.0042
UTP10	AP1G1	40	91.5	0.0059
UTP10	PDS5	41	90.4	0.0094
UTP10	CEX1	42	90.3	0.0097
UTP10	SCC2	43	90.1	0.011
UTP10	CND3	44	87.5	0.024
UTP10	TTI1	45	86.1	0.034
UTP10	IPI1	46	85.7	0.037
UTP10	VID28	47	82.6	0.065
UTP10	UFD4	48	80.5	0.089
UTP10	FES1	50	76.8	0.14
UTP10	CND1	51	72.7	0.22
UTP10	TR732	52	72.1	0.23
UTP10	AP2A	53	63.6	0.45
UTP10	RPN2	55	50.6	1.1
UTP10	DOHH	56	45.1	1.5
UTP10	SHE4	58	41.1	1.9
UTP10	LAA1	60	27.7	4.3
UTP10	KOG1	61	26.4	4.7
UTP10	SCY1	63	24.5	5.4
UTP10	LTN1	64	22.6	6.2
UTP10	SYO1	65	22.0	6.5
UTP10	SCC3	66	21.9	6.5
UTP10	USO1	67	21.8	6.6
BLM10	2AAA	1	73.2	0.2
BLM10	VAC14	2	63.4	0.46
BLM10	EF3A	3	57.5	0.69
BLM10	EF3B	4	54.6	0.83
BLM10	UTP20	5	51.3	1
BLM10	MOT1	6	48.7	1.2
BLM10	AP1B1	7	37.2	2.4
BLM10	IMB1	8	35.8	2.6
BLM10	STU1	9	35.0	2.7
BLM10	NEW1	10	34.7	2.8
BLM10	IMB4	11	30.6	3.6
BLM10	IMB2	12	28.9	4
BLM10	STU2	13	28.4	4.1
BLM10	TOR2	14	27.1	4.5
BLM10	IMB3	15	26.6	4.7
BLM10	PDS5	17	24.0	5.6
BLM10	TOR1	18	23.8	5.7
BLM10	SF3B1	19	22.6	6.2
STU2	STU1	1	99.8	5.7e-25
STU2	2AAA	2	99.3	5.2e-17
STU2	VAC14	3	99.0	1.8e-14
STU2	IMB4	4	99.0	5.6e-14
STU2	ECM29	5	99.0	1.6e-14
STU2	IMB3	6	98.9	1.6e-13
STU2	IMB2	7	98.9	1.7e-13
STU2	SF3B1	8	98.9	2.1e-13
STU2	GCN1	9	98.9	2.2e-13
STU2	IMB1	10	98.9	2.2e-13
STU2	TOR1	11	98.5	1.2e-11
STU2	TOR2	12	98.4	2.9e-11
STU2	UTP20	13	98.2	3.5e-10
STU2	AP1B1	14	98.1	5.3e-10
STU2	UTP10	15	98.0	1.8e-9
STU2	COPG	16	98.0	1.5e-9
STU2	VAC8	17	97.8	6.2e-9
STU2	IMA1	18	97.7	9.7e-9
STU2	RRP12	19	97.7	9.4e-9
STU2	MET18	20	97.6	2.0e-8
STU2	COPB	21	97.6	2.3e-8
STU2	EF3A	22	97.6	2.6e-8
STU2	EF3B	23	97.5	4.7e-8
STU2	NEW1	24	97.5	4.2e-8
STU2	AP2B	25	97.4	8.8e-8
STU2	AP3B	26	97.3	1.1e-7
STU2	CEX1	27	97.2	2.0e-7
STU2	MOT1	28	97.2	2.8e-7
STU2	AP3D	29	97.1	4.6e-7
STU2	VPS15	30	97.0	6.1e-7
STU2	CSE1	31	96.6	4.6e-6
STU2	AP1G1	32	96.4	7.6e-6
STU2	CND3	33	96.3	1.3e-5
STU2	DOHH	34	96.2	1.6e-5
STU2	RTP1	35	96.2	1.5e-5
STU2	PDS5	36	95.9	3.7e-5
STU2	RPN2	37	95.7	6.3e-5
STU2	AP2A	38	95.4	0.00012
STU2	UFD4	39	95.1	0.00023
STU2	KA120	40	95.0	0.00025
STU2	VID28	41	94.5	0.00056
STU2	SCC2	42	93.5	0.0015
STU2	FES1	44	93.0	0.0022
STU2	IPI1	45	92.7	0.0028
STU2	CND1	46	92.4	0.0035
STU2	SXM1	51	91.7	0.0053
STU2	NMD5	59	88.4	0.019
STU2	SCC3	62	85.5	0.038
